"","municipio_sae","clave_provincial","municipio_code","number_mun_code","municipio","tipo","rama","escuela","number_escuela","cue","cs","dmclc","dmc","cupo_total","long","lat","ubicacion_cue","zona","cupo","clusters","clusters_2","cluster_asignado_2","muni_cluster"
"51","LAS HERAS","0057MS0001","57","2","GENERAL LAS HERAS","SECUNDARIAS","MS","1","1","610239","85","27","0","112",-58.950567,-34.933678,"Urbano","Urbano","3076","1.62562754004303","2",2,"57-2"
"52","LAS HERAS","0057MS0002","57","2","GENERAL LAS HERAS","SECUNDARIAS","MS","2","1","622085","81","30","0","111",-58.941793,-34.828841,"Rural Agrupado","Rural","3076","1.62562754004303","2",1,"57-1"
"53","LAS HERAS","0057MS0003","57","2","GENERAL LAS HERAS","SECUNDARIAS","MS","3","1","622453","0","47","0","47",-59.053148,-34.850194,"Rural Disperso","Rural","3076","1.62562754004303","2",1,"57-1"
"54","LAS HERAS","0057MS0004","57","2","GENERAL LAS HERAS","SECUNDARIAS","MS","4","1","620096","0","67","0","67",-58.941302,-34.929335,"Urbano","Urbano","3076","1.62562754004303","2",2,"57-2"
"55","LAS HERAS","0057MT0001","57","2","GENERAL LAS HERAS","SECUNDARIAS","MT","1","1","608027","0","80","0","80",-58.950354,-34.933989,"Urbano","Urbano","3076","1.62562754004303","2",2,"57-2"
"56","LAS HERAS","cluster","57","cluster","GENERAL LAS HERAS","cluster","cluster","cluster","cluster","cluster","cluster","cluster","cluster","cluster",-59.0428798916667,-34.8455604055556,"cluster","cluster","cluster","cluster","cluster",1,"57-1"
"57","LAS HERAS","cluster","57","cluster","GENERAL LAS HERAS","cluster","cluster","cluster","cluster","cluster","cluster","cluster","cluster","cluster",-58.940331221875,-34.944367091875,"cluster","cluster","cluster","cluster","cluster",2,"57-2"
"58","G LAVALLE","0039EE0501","39","2","GENERAL LAVALLE","INICIAL Y PRIMARIA","EE","501","3","622211","25","0","25","50",-56.94156776,-36.40757675,"Rural Agrupado","Rural","1577","2","2",2,"39-2"
"59","G LAVALLE","0039JI0901","39","2","GENERAL LAVALLE","INICIAL Y PRIMARIA","JI","901","3","608717","0","0","216","216",-56.94423327,-36.40732003,"Rural Agrupado","Rural","1577","2","2",2,"39-2"
"60","G LAVALLE","0039JI0902","39","2","GENERAL LAVALLE","INICIAL Y PRIMARIA","JI","902","3","613393","70","0","85","155",-56.76100834,-36.70645726,"Rural Disperso","Rural","1577","2","2",1,"39-1"
"61","G LAVALLE","0039JI0903","39","2","GENERAL LAVALLE","INICIAL Y PRIMARIA","JI","903","3","616848","20","0","20","40",-56.73700381,-36.39515535,"Rural Disperso","Rural","1577","2","2",2,"39-2"
"62","G LAVALLE","0039JS0001","39","2","GENERAL LAVALLE","INICIAL Y PRIMARIA","JS","1","1","621306","0","0","5","5",-57.25539984,-36.68586777,"Rural Disperso","Rural","1577","2","2",2,"39-2"
"63","G LAVALLE","0039JS0002","39","2","GENERAL LAVALLE","INICIAL Y PRIMARIA","JS","2","1","621321","0","0","1","1",-57.02824057,-36.84662615,"Rural Disperso","Rural","1577","2","2",1,"39-1"
"64","G LAVALLE","0039JS0004","39","2","GENERAL LAVALLE","INICIAL Y PRIMARIA","JS","4","1","622889","0","0","5","5",-56.750839,-36.714346,"Rural Disperso","Rural","1577","2","2",1,"39-1"
