municipio_sae;clave_provincial;municipio_code;number_mun_code;municipio;tipo;rama;escuela;number_escuela;cue;cs;dmclc;dmc;cupo_total;long;lat;ubicacion_cue;zona;cupo;clusters;clusters_2;cluster_asignado_2;muni_cluster;n
A BROWN;0004JI0914;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;JI;55;3;601351;0;0;163;163;-58.36743;-34.87164;Urbano;Urbano;88622;12;12;1;4-1;30
A BROWN;0004JI0915;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;JI;56;3;601880;0;0;190;190;-58.33432;-34.81068;Urbano;Urbano;88622;12;12;5;4-5;13
A BROWN;0004JI0916;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;JI;57;3;604383;0;0;132;132;-58.35078;-34.80311;Urbano;Urbano;88622;12;12;7;4-7;12
A BROWN;0004JI0918;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;JI;59;3;601892;0;0;180;180;-58.40806;-34.82227;Urbano;Urbano;88622;12;12;12;4-12;27
A BROWN;0004JI0919;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;JI;60;3;601714;214;0;219;433;-58.40707;-34.87712;Urbano;Urbano;88622;12;12;10;4-10;25
A BROWN;0004JI0920;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;JI;61;3;600823;0;0;141;141;-58.37020;-34.81898;Urbano;Urbano;88622;12;12;8;4-8;20
A BROWN;0004JI0921;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;JI;62;3;601703;317;0;320;637;-58.34149;-34.78812;Urbano;Urbano;88622;12;12;7;4-7;12
A BROWN;0004JI0922;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;JI;63;3;600824;0;0;259;259;-58.36148;-34.80202;Urbano;Urbano;88622;12;12;8;4-8;20
A BROWN;0004JI0923;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;JI;64;3;601462;100;0;177;277;-58.42941;-34.82938;Urbano;Urbano;88622;12;12;12;4-12;27
A BROWN;0004JI0924;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;JI;65;3;602719;0;0;170;170;-58.38840;-34.84377;Urbano;Urbano;88622;12;12;4;4-4;20
