municipio_sae;clave_provincial;municipio_code;number_mun_code;municipio;tipo;rama;escuela;number_escuela;cue;cs;dmclc;dmc;cupo_total;long;lat;ubicacion_cue;zona
A BROWN;0004JI0907;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;JI;907;3;601717;0;0;179;179;-58.39119778;-34.81476372;Urbano                        ;Urbano
A BROWN;0004JI0908;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;JI;908;3;600828;0;0;150;150;-58.39430178;-34.79236588;Urbano                        ;Urbano
A BROWN;0004JI0909;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;JI;909;3;606701;67;0;258;325;-58.39637756;-34.89675859;Urbano                        ;Urbano
A BROWN;0004JI0910;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;JI;910;3;601350;0;0;206;206;-58.37661613;-34.88765562;Urbano                        ;Urbano
A BROWN;0004JI0911;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;JI;911;3;606999;0;0;212;212;-58.34938227;-34.81640986;Urbano                        ;Urbano
A BROWN;0004JI0912;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;JI;912;3;606491;0;0;202;202;-58.36887193;-34.80958998;Urbano                        ;Urbano
A BROWN;0004JI0913;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;JI;913;3;601383;0;0;205;205;-58.34613097;-34.81932771;Urbano                        ;Urbano
A BROWN;0004JI0914;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;JI;914;3;601351;0;0;163;163;-58.36743412;-34.87164048;Urbano                        ;Urbano
A BROWN;0004JI0915;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;JI;915;3;601880;0;0;190;190;-58.33432693;-34.81068956;Urbano                        ;Urbano
A BROWN;0004JI0916;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;JI;916;3;604383;0;0;132;132;-58.3507849;-34.80311426;Urbano                        ;Urbano
A BROWN;0004JI0917;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;JI;917;3;601893;49;0;131;180;-58.4084514;-34.83930036;Urbano                        ;Urbano
A BROWN;0004JI0918;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;JI;918;3;601892;0;0;180;180;-58.40806393;-34.82227205;Urbano                        ;Urbano
A BROWN;0004JI0919;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;JI;919;3;601714;214;0;219;433;-58.40707243;-34.87712006;Urbano                        ;Urbano
A BROWN;0004JI0920;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;JI;920;3;600823;0;0;141;141;-58.37020972;-34.81898611;Urbano                        ;Urbano
A BROWN;0004JI0921;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;JI;921;3;601703;317;0;320;637;-58.34149443;-34.78812592;Urbano                        ;Urbano
A BROWN;0004JI0922;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;JI;922;3;600824;0;0;259;259;-58.36148224;-34.80202448;Urbano                        ;Urbano
A BROWN;0004JI0923;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;JI;923;3;601462;100;0;177;277;-58.42941557;-34.82938838;Urbano                        ;Urbano
A BROWN;0004JI0924;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;JI;924;3;602719;0;0;170;170;-58.38840768;-34.84377645;Urbano                        ;Urbano
A BROWN;0004JI0925;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;JI;925;3;610265;0;0;219;219;-58.32246984;-34.78054011;Urbano                        ;Urbano
A BROWN;0004JI0926;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;JI;926;3;612685;0;0;220;220;-58.32337589;-34.79178126;Urbano                        ;Urbano
A BROWN;0004JI0927;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;JI;927;3;601881;0;0;181;181;-58.33378683;-34.81419134;Urbano                        ;Urbano
A BROWN;0004JI0928;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;JI;928;3;603934;0;0;144;144;-58.34593734;-34.82118741;Urbano                        ;Urbano
A BROWN;0004JI0929;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;JI;929;3;601382;87;0;181;268;-58.35079847;-34.82135938;Urbano                        ;Urbano
A BROWN;0004JI0930;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;JI;930;3;601380;73;0;157;230;-58.33532253;-34.81229271;Urbano                        ;Urbano
A BROWN;0004JI0931;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;JI;931;3;601381;0;0;130;130;-58.34084225;-34.81959019;Urbano                        ;Urbano
